,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,esperance,-33.8667,121.9,294.15,64,0,6.17,AU,1616248652
155,thompson,55.7435,-97.8558,275.15,80,40,2.57,CA,1616248586
156,qesarya,32.5189,34.9046,293.71,60,0,5.14,IL,1616248909
157,tiarei,-17.5333,-149.3333,298.15,78,40,1.54,PF,1616248910
158,port-cartier,50.0334,-66.8654,268.15,62,90,3.09,CA,1616248910
159,berlevag,70.8578,29.0864,273.82,83,100,9.4,NO,1616248603
160,sabzevar,36.2126,57.6819,292.15,19,20,6.17,IR,1616248911
161,lalmohan,22.3384,90.7419,300.31,58,76,5.39,BD,1616248911
162,cabo san lucas,22.8909,-109.9124,290.93,44,1,2.06,MX,1616248653
163,sinnai,39.3042,9.2036,288.15,62,40,5.66,IT,1616248912
164,altamont,42.2068,-121.7372,272.15,80,90,1.54,US,1616248912
165,saldanha,-33.0117,17.9442,296.15,49,0,10.29,ZA,1616248623
166,comodoro rivadavia,-45.8667,-67.5,291.15,39,40,6.17,AR,1616248683
167,mangochi,-14.4782,35.2645,299.26,85,100,1.8,MW,1616248913
168,bodden town,19.2833,-81.25,299.82,78,40,3.09,KY,1616248913
169,kahului,20.8947,-156.47,294.15,88,1,6.65,US,1616248914
170,kapaa,22.0752,-159.319,294.15,83,75,9.77,US,1616248602
171,praya,14.9215,-23.5087,298.15,50,0,8.23,CV,1616248713
172,muli,2.9167,73.5667,301.74,68,6,3.07,MV,1616248915
173,leningradskiy,69.3833,178.4167,247.16,86,100,1.17,RU,1616248598
174,constitucion,-35.3333,-72.4167,291.07,57,10,1.65,CL,1616248741
175,altay,47.8667,88.1167,268.19,35,0,3.12,CN,1616248353
176,souillac,-20.5167,57.5167,299.15,89,75,5.14,MU,1616248590
177,ribeira grande,38.5167,-28.7,289.15,88,75,8.23,PT,1616248653
178,qaanaaq,77.484,-69.3632,249.99,97,86,2.09,GL,1616248595
179,port blair,11.6667,92.75,300.64,65,40,2.46,IN,1616248679
180,lagoa,39.05,-27.9833,287.7,81,100,6.91,PT,1616248701
181,eyl,7.9803,49.8164,300.15,64,0,8.33,SO,1616248918
182,pevek,69.7008,170.3133,241.86,100,23,0.74,RU,1616248589
183,dingle,10.9995,122.6711,298.67,76,0,2.9,PH,1616248918
184,phetchaburi,12.9667,99.5833,299.08,72,0,0.66,TH,1616248919
185,longyearbyen,78.2186,15.6401,265.15,67,40,6.17,SJ,1616248695
186,etchoropo,26.7667,-109.6667,289.17,41,0,1.21,MX,1616248919
187,chuy,-33.6971,-53.4616,299.16,70,16,5.55,UY,1616248681
188,rafaela,-31.2503,-61.4867,292.04,100,100,2.64,AR,1616248920
189,micheweni,-4.9667,39.8333,304.15,66,20,5.66,TZ,1616248920
190,belaya gora,68.5333,146.4167,248.14,84,71,0.61,RU,1616248734
191,thinadhoo,0.5333,72.9333,301.63,70,81,3.0,MV,1616248368
192,skjervoy,70.0311,20.9714,272.84,93,100,2.96,NO,1616248921
193,saint george,37.1041,-113.5841,288.15,30,1,7.2,US,1616248602
194,churapcha,62.0025,132.4325,263.55,94,94,2.41,RU,1616248922
195,jiancheng,30.391,104.5491,279.82,82,100,0.89,CN,1616248922
196,geraldton,-28.7667,114.6,296.15,78,2,4.12,AU,1616248648
197,guerrero negro,27.9769,-114.0611,287.89,88,0,4.23,MX,1616248651
198,tucumcari,35.1717,-103.725,280.15,53,1,6.69,US,1616248923
199,chase,50.8165,-119.6857,277.04,93,100,1.03,CA,1616248923
200,kuusamo,65.9667,29.1833,273.15,74,90,4.63,FI,1616248924
201,coahuayana,18.7333,-103.6833,296.15,49,40,1.08,MX,1616248924
202,salamiyah,35.0113,37.0532,291.4,38,99,3.08,SY,1616248924
203,suntar,62.1444,117.6319,267.28,84,100,5.46,RU,1616248600
204,esmeraldas,-19.7625,-44.3139,298.15,61,75,5.14,BR,1616248926
205,adrar,20.5022,-10.0711,302.26,10,0,5.06,MR,1616248926
206,magistralnyy,56.1725,107.4458,269.23,90,100,3.24,RU,1616248926
207,yangcun,39.3639,117.0603,281.15,27,0,8.0,CN,1616248927
208,slave lake,55.2834,-114.769,269.15,86,75,2.06,CA,1616248593
209,omsukchan,62.5333,155.8,246.68,61,0,0.69,RU,1616248928
210,douglas,41.3,-96.167,277.15,65,1,4.12,US,1616248928
211,chingirlau,51.095,54.0814,270.9,93,100,5.75,KZ,1616248929
212,touros,-5.1989,-35.4608,303.15,58,40,7.2,BR,1616248710
213,lipari,38.4674,14.954,286.48,91,100,1.34,IT,1616248929
214,nanga eboko,4.6833,12.3667,302.86,50,27,1.31,CM,1616248929
215,gamboula,4.1178,15.1393,302.36,60,84,2.04,CF,1616248930
216,nouakchott,18.0858,-15.9785,307.15,12,38,6.69,MR,1616248930
217,wuwei,37.9281,102.6414,272.32,28,1,1.42,CN,1616248931
218,carutapera,-1.195,-46.02,300.39,79,84,2.18,BR,1616248654
219,praia da vitoria,38.7333,-27.0667,290.37,59,40,6.12,PT,1616248931
220,mananara,-16.1667,49.7667,300.37,74,84,2.97,MG,1616248931
221,khandyga,62.6667,135.6,264.03,95,100,2.65,RU,1616248696
222,lucea,18.451,-78.1736,300.93,69,20,2.06,JM,1616248932
223,sistranda,63.7256,8.834,279.15,93,75,13.89,NO,1616248932
224,acapulco,16.8634,-99.8901,295.15,73,1,1.56,MX,1616248704
225,arshan,46.2732,44.22,279.15,65,0,5.0,RU,1616248933
226,bansko,41.8383,23.4885,277.04,87,100,1.19,BG,1616248934
227,camocim,-2.9022,-40.8411,302.05,68,8,2.19,BR,1616248935
228,yerbogachen,61.2767,108.0108,251.66,86,100,5.2,RU,1616248935
229,new norfolk,-42.7826,147.0587,290.15,55,90,5.66,AU,1616248618
230,mirpur mathelo,28.0227,69.5489,304.79,14,31,3.53,PK,1616248936
231,saint-francois,46.4154,3.9054,282.59,43,0,7.2,FR,1616248936
232,werda,-25.2667,23.2833,300.63,36,90,2.57,BW,1616248691
233,beringovskiy,63.05,179.3167,254.06,91,100,7.44,RU,1616248622
234,belle glade,26.6845,-80.6676,294.26,71,93,0.45,US,1616248937
235,richards bay,-28.783,32.0377,301.08,65,43,5.8,ZA,1616248938
236,artsvaberd,40.8336,45.4711,278.07,66,23,1.74,AM,1616248938
237,north platte,41.1239,-100.7654,279.15,70,1,5.14,US,1616248938
238,la paz,-16.5,-68.15,281.15,71,40,1.49,BO,1616248938
239,iquique,-20.2208,-70.1431,294.15,60,0,6.69,CL,1616248939
240,paraiba do sul,-22.1619,-43.2928,299.99,74,35,1.99,BR,1616248939
241,smithers,54.7804,-127.1743,270.15,54,20,2.57,CA,1616248939
242,genhe,50.7833,121.5167,264.4,92,100,1.64,CN,1616248940
243,kenai,60.5544,-151.2583,263.71,67,90,4.12,US,1616248638
244,victoria,22.2855,114.1577,298.15,83,0,1.3,HK,1616248360
245,dongying,37.4564,118.4856,283.03,21,100,8.79,CN,1616248720
246,colares,38.7992,-9.4469,288.71,31,0,4.63,PT,1616248941
247,aljezur,37.3191,-8.8033,288.59,40,0,7.21,PT,1616248941
248,poya,-21.35,165.15,296.2,86,100,1.98,NC,1616248941
249,san andres del rabanedo,42.6117,-5.6167,283.15,29,20,5.14,ES,1616248941
250,luderitz,-26.6481,15.1594,297.25,56,0,14.69,NA,1616248636
251,ilulissat,69.2167,-51.1,266.15,63,75,3.09,GL,1616248361
252,soria,41.6667,-2.6667,275.93,52,0,7.6,ES,1616248942
253,egvekinot,66.3167,-179.1667,249.1,79,100,4.98,RU,1616248612
254,warwick,41.7001,-71.4162,279.82,32,0,0.45,US,1616248737
255,bam,29.106,58.357,298.35,13,96,7.77,IR,1616248943
256,pingliang,35.5392,106.6861,276.22,31,80,5.98,CN,1616248944
257,poum,-20.2333,164.0167,299.17,76,100,6.59,NC,1616248944
258,lithakia,37.7167,20.8333,289.15,88,75,6.69,GR,1616248944
259,san cristobal,7.7669,-72.225,296.15,100,75,2.57,VE,1616248733
260,cururupu,-1.8283,-44.8683,301.31,75,85,1.54,BR,1616248945
261,chuguyevka,44.1653,133.8633,271.34,85,100,2.61,RU,1616248945
262,yenotayevka,47.2456,47.0281,280.37,41,100,0.89,RU,1616248945
263,yenagoa,4.9247,6.2642,304.29,60,99,2.62,NG,1616248878
264,birganj,27.0104,84.8774,300.02,21,0,2.45,NP,1616248946
265,santa rosa,14.3122,121.1114,302.15,74,20,3.09,PH,1616248946
266,ranong,9.9658,98.6348,302.15,70,0,2.06,TH,1616248946
267,cayenne,4.9333,-52.3333,302.15,65,75,4.63,GF,1616248663
268,port keats,-14.25,129.55,299.37,79,84,1.76,AU,1616248947
269,salamanca,40.8333,-6.0,282.59,44,0,4.92,ES,1616248948
270,mitu,1.1983,-70.1733,300.96,74,62,1.31,CO,1616248701
271,shakawe,-18.3667,21.85,302.87,43,62,2.42,BW,1616248948
272,araceli,10.5529,119.9913,301.42,81,59,4.31,PH,1616248948
273,nome,64.5011,-165.4064,257.15,60,1,7.2,US,1616248634
274,rio gallegos,-51.6226,-69.2181,281.15,57,20,7.72,AR,1616248949
275,tabanan,-8.5413,115.1252,301.15,83,20,4.63,ID,1616248786
276,inirida,3.8653,-67.9239,300.4,85,90,1.2,CO,1616248701
277,kota belud,6.351,116.4305,300.15,83,20,1.54,MY,1616248950
278,luzhou,28.8724,105.4405,285.24,71,100,3.05,CN,1616248950
279,ampanihy,-24.7,44.75,305.25,39,42,3.6,MG,1616248610
280,severo-kurilsk,50.6789,156.125,268.34,80,82,9.62,RU,1616248634
281,fredericksburg,38.3032,-77.4605,278.15,41,1,3.6,US,1616248951
282,limulunga,-15.0969,23.1376,299.33,70,45,2.66,ZM,1616248951
283,ensenada,31.8667,-116.6167,284.26,93,1,0.89,MX,1616248952
